,time,Av. Dens.,St. Dens.,RMS Vel.,RMS Mach
0,0.000000e+00,1.660000e-24,3.673420e-40,0.000000e+00,0.000000e+00
1,5.614773e+10,1.660000e-24,4.354185e-27,1.449896e+05,1.449896e-01
2,1.123438e+11,1.660000e-24,1.526532e-26,2.757866e+05,2.757866e-01
3,1.828149e+11,1.660000e-24,3.950658e-26,4.099484e+05,4.099484e-01
4,2.443480e+11,1.660000e-24,7.787190e-26,4.959454e+05,4.959454e-01
5,2.961758e+11,1.660000e-24,1.290388e-25,5.530635e+05,5.530635e-01
6,3.469574e+11,1.660000e-24,1.984972e-25,6.018332e+05,6.018332e-01
7,4.155907e+11,1.660000e-24,3.239014e-25,6.619122e+05,6.619122e-01
8,4.788898e+11,1.660000e-24,4.665261e-25,7.217463e+05,7.217463e-01
9,5.532380e+11,1.660000e-24,6.502889e-25,7.887178e+05,7.887178e-01
10,6.043332e+11,1.660000e-24,7.728669e-25,8.292030e+05,8.292030e-01
11,6.665544e+11,1.660000e-24,9.029193e-25,8.745457e+05,8.745457e-01
12,7.376889e+11,1.660000e-24,1.021820e-24,9.190152e+05,9.190152e-01
13,7.911714e+11,1.660000e-24,1.095673e-24,9.469116e+05,9.469116e-01
14,8.638541e+11,1.660000e-24,1.177783e-24,9.770602e+05,9.770602e-01
15,9.200628e+11,1.660000e-24,1.231204e-24,9.920348e+05,9.920348e-01
16,9.836813e+11,1.660000e-24,1.280988e-24,1.002355e+06,1.002355e+00
17,1.047853e+12,1.660000e-24,1.327374e-24,1.008272e+06,1.008272e+00
18,1.101169e+12,1.660000e-24,1.360565e-24,1.008104e+06,1.008104e+00
19,1.169717e+12,1.660000e-24,1.393910e-24,1.007597e+06,1.007597e+00
20,1.225533e+12,1.660000e-24,1.411480e-24,1.007645e+06,1.007645e+00
21,1.292361e+12,1.660000e-24,1.426243e-24,1.007076e+06,1.007076e+00
22,1.350464e+12,1.660000e-24,1.440247e-24,1.009734e+06,1.009734e+00
23,1.417111e+12,1.660000e-24,1.454463e-24,1.014316e+06,1.014316e+00
24,1.473747e+12,1.660000e-24,1.462093e-24,1.018963e+06,1.018963e+00
25,1.538223e+12,1.660000e-24,1.471123e-24,1.026815e+06,1.026815e+00
